EmpID,Name,ManagerID,BranchNo
100000000019,"Basil Herman",100000000001,1
100000000020,"Katell Manning",100000000001,1
100000000008,"Branden Sloan",100000000002,2
100000000011,"Amity Walls",100000000002,2
100000000014,"Willa Little",100000000002,2
100000000018,"Virginia Wagner",100000000002,2
100000000022,"Ray Donaldson",100000000002,2
100000000007,"Karly Orr",100000000003,3
100000000009,"Eric Webb",100000000003,3
100000000010,"Patience Vega",100000000003,3
100000000021,"Armand Pollard",100000000003,3
100000000023,"Len Andrews",100000000003,3
100000000013,"Quinlan Blankenship",100000000004,4
100000000015,"Lilah Mendez",100000000004,4
100000000016,"Stephen Lawrence",100000000004,4
100000000017,"Alec Gates",100000000004,4
100000000024,"Ciaran Mullen",100000000004,4
100000000025,"Miriam Cooley",100000000004,4
100000000006,"Amena Hunter",100000000005,5
100000000012,"Cally Mathews",100000000005,5
