AccNo,AccType,ROI
100000000000001,Savings,2.22
100000000000002,Savings,2.22
100000000000003,Current,0
100000000000004,Savings,2.22
100000000000005,Current,0
100000000000006,Current,0
100000000000007,Current,0
100000000000008,Savings,2.22
100000000000009,Current,0
100000000000010,Current,0
100000000000011,Savings,2.22
100000000000012,Current,0
100000000000013,Savings,2.22
100000000000014,Savings,2.22
100000000000015,Current,0
100000000000016,Current,0
100000000000017,Current,0
100000000000018,Current,0
100000000000019,Current,0
100000000000020,Current,0
100000000000021,Savings,2.22
100000000000022,Savings,2.22
100000000000023,Current,0
100000000000024,Savings,2.22
100000000000025,Current,0
100000000000026,Savings,2.22
100000000000027,Savings,2.22
100000000000028,Current,0
100000000000029,Savings,2.22
100000000000030,Savings,2.22
100000000000031,Current,0
100000000000032,Savings,2.22
100000000000033,Savings,2.22
100000000000034,Savings,2.22
100000000000035,Savings,2.22
100000000000036,Current,0
100000000000037,Current,0
100000000000038,Current,0
100000000000039,Current,0
100000000000040,Current,0
100000000000041,Current,0
100000000000042,Savings,2.22
100000000000043,Savings,2.22
100000000000044,Current,0
100000000000045,Savings,2.22
100000000000046,Savings,2.22
100000000000047,Savings,2.22
100000000000048,Current,0
100000000000049,Current,0
100000000000050,Current,0
100000000000051,Current,0
100000000000052,Current,0
100000000000053,Current,0
100000000000054,Savings,2.22
100000000000055,Savings,2.22
100000000000056,Savings,2.22
100000000000057,Current,0
100000000000058,Savings,2.22
100000000000059,Current,0
100000000000060,Savings,2.22
100000000000061,Current,0
100000000000062,Savings,2.22
100000000000063,Current,0
100000000000064,Current,0
100000000000065,Current,0
100000000000066,Current,0
100000000000067,Current,0
100000000000068,Current,0
100000000000069,Current,0
100000000000070,Current,0
100000000000071,Savings,2.22
100000000000072,Savings,2.22
100000000000073,Savings,2.22
100000000000074,Current,0
100000000000075,Current,0
100000000000076,Savings,2.22
100000000000077,Savings,2.22
100000000000078,Current,0
100000000000079,Savings,2.22
100000000000080,Savings,2.22
100000000000081,Savings,2.22
100000000000082,Savings,2.22
100000000000083,Savings,2.22
100000000000084,Savings,2.22
100000000000085,Current,0
100000000000086,Current,0
100000000000087,Current,0
100000000000088,Current,0
100000000000089,Current,0
100000000000090,Savings,2.22
100000000000091,Savings,2.22
100000000000092,Savings,2.22
100000000000093,Current,0
100000000000094,Current,0
100000000000095,Current,0
100000000000096,Savings,2.22
100000000000097,Savings,2.22
100000000000098,Savings,2.22
100000000000099,Current,0
100000000000100,Current,0
1000000000001,Personal,9.25
1000000000002,Personal,9.25
1000000000003,Personal,9.25
1000000000004,Home,8.06
1000000000005,Home,8.06
1000000000006,Personal,9.25
1000000000007,Home,8.06
1000000000008,Personal,9.25
1000000000009,Car,7.2
1000000000010,Car,7.2
1000000000011,Car,7.2
1000000000012,Car,7.2
1000000000013,Car,7.2
1000000000014,Home,8.06
1000000000015,Car,7.2
1000000000016,Car,7.2
1000000000017,Home,8.06
1000000000018,Car,7.2
1000000000019,Car,7.2
1000000000020,Personal,9.25
1000000000021,Car,7.2
1000000000022,Personal,9.25
1000000000023,Car,7.2
1000000000024,Car,7.2
1000000000025,Home,8.06
1000000000026,Car,7.2
1000000000027,Car,7.2
1000000000028,Home,8.06
1000000000029,Home,8.06
1000000000030,Car,7.2
